,AOR,LB,UB
aa_11to14Weeks,0.9,0.83,0.98
aa_7to10Weeks,0.93,0.87,1.0
aa_3to6Weeks,1.11,1.03,1.2
pp_11to14Weeks,0.94,0.88,1.0
pp_7to10Weeks,0.9,0.85,0.96
pp_3to6Weeks,0.73,0.68,0.78
pp_0to2Weeks,0.62,0.57,0.68
ss_11to14Weeks,1.3,1.22,1.39
ss_7to10Weeks,1.05,0.98,1.12
ss_3to6Weeks,0.86,0.8,0.92
ss_0to2Weeks,0.76,0.67,0.86
